product1_id,product1_title,product1_brand,product1_description,product2_id,product2_title,product2_brand,product2_description,label
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB001-alt,Non-Touch GOBOULT Z40 Pro Earbuds Black,GOBOULT,"GOBOULT Z40 Pro: quad-mic ENC, 100 hour total playtime, TWS earbuds",1
MB004,pTron Bassbuds Astra TWS Earbuds,pTron,"TWS earbuds with 34 hours playtime, Bluetooth 5.3, and a companion app with custom EQ",MB004-alt,"Bassbuds Astra by pTron, Black",pTron,"pTron Bassbuds Astra: Bluetooth 5.3, 34 hour playtime, custom EQ app",1
MB009,Zebronics Sound Bomb 1 TWS Earbuds,Zebronics,TWS earbuds with 12 hours playback with case and splash-proof design,MB009-alt,Zeb-Sound Bomb 1 Earbuds White,Zebronics,"Sound Bomb 1 by Zebronics: splash-proof, 12 hour playback with case",1
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB002,Boult AirBass K60 TWS Earbuds,GOBOULT,TWS earbuds with touch controls and extra ear tips included,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB003,Boult Z40 Earbuds,GOBOULT,True wireless earbuds with USB-C charging case,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB004,pTron Bassbuds Astra TWS Earbuds,pTron,"TWS earbuds with 34 hours playtime, Bluetooth 5.3, and a companion app with custom EQ",0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB005,pTron Bassbuds Indie TWS Earbuds,pTron,TWS earbuds with 28 hours total playtime and Bluetooth 5.0,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB006,pTron Bassbuds Sports TWS Earbuds,pTron,TWS earbuds with 32 hours total playback and a secure hook-style fit,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB007,pTron Bassbuds Pixel TWS Earbuds,pTron,"TWS earbuds with Bluetooth 5.1, passive noise cancellation, and dual mic",0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB008,pTron Bassbuds Duo TWS Earbuds,pTron,TWS earbuds with 8 hours single-charge playback and Bluetooth 5.1,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB009,Zebronics Sound Bomb 1 TWS Earbuds,Zebronics,TWS earbuds with 12 hours playback with case and splash-proof design,0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB010,Zebronics Sound Bomb Q Pro TWS Earbuds,Zebronics,"TWS earbuds with 35 hours playtime, Bluetooth 5.0, and IPX7 waterproofing",0
MB001,GOBOULT Z40 Pro TWS Earbuds,GOBOULT,TWS earbuds with 100 hours total playtime and quad-mic ENC,MB011,Zebronics Sound Bomb 7 TWS Earbuds,Zebronics,"TWS earbuds with up to 60 hours playtime, Bluetooth 5.2, ENC, and a gaming mode",0
