pair_id,label,difficulty,justification
P0075,DIFFERENT_PRODUCT,hard,"realme Buds T100 vs T110 - adjacent model numbers in the same line, with different playtime (28H vs 38H). Exactly the near-miss shape of P0113 (Motorola G57 vs G67)."
P0076,EXACT_MATCH,easy,"Same realme TechLife Buds T100 described by two merchants; both cite AI ENC and Google Fast Pair, 1.02x price."
P0077,EXACT_MATCH,easy,"DUPLICATE of P0076 - identical A and B titles and prices. Same realme TechLife Buds T100; keep one of the two when building the eval split."
P0078,DIFFERENT_PRODUCT,hard,"Milton *Steel Marble* vs Milton *Duo Deluxe* are different bottle lines, not one product in two sizes. This is the discriminator against P0003/P0039: capacity alone means VARIANT, a different line means DIFFERENT."
P0079,DIFFERENT_PRODUCT,hard,"realme Buds T100 vs T110 - same near-miss as P0075, different merchants."
P0080,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 Gen 2 (48H, no ANC) vs 141 Elite ANC (42H, 35dB ANC). ANC is a capability difference, not a finish - distinct SKUs in the same 141 family, as with VS104 vs VS104 Max in P0074."
P0081,DIFFERENT_PRODUCT,hard,"Genuine OnePlus Bullets Wireless Z2 ANC vs 'Mobiwaves By On Plus Bullet Z2' - a third-party item trading on the name, at 3.69x less. The same listing pair flagged in P0073."
P0082,DIFFERENT_PRODUCT,medium,"Prestige *Prism* vs Prestige *Regal* are different mixer-grinder lines; the shared 750W rating is not identity. Also 3 jars vs 4 jars with juicer."
P0083,DIFFERENT_PRODUCT,hard,"realme Buds T110 vs TechLife Buds T100 - P0075 with the sides swapped."
P0084,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 (base, 42H, ENx only) vs 141 Elite ANC (35dB active noise cancellation). Same family, different SKU."
P0085,SAME_PRODUCT_DIFFERENT_VARIANT,medium,"Bajaj KTX DLX in 1.8 L vs 1.5 L, both 1350W. Same line, capacity differs - VARIANT by the P0003 rule. Note this also corroborates excluding P0034: the KTX DLX line is 1350W at both sizes, so P0034's '1500 Watts' title was the faulty one."
P0086,SAME_PRODUCT_DIFFERENT_VARIANT,easy,"Same Noise ColorFit Pulse 2 Max at an identical 1,499, but Jet Black vs Midnight Blue are both stated explicitly - a genuine colour conflict rather than one side omitting it."
P0087,EXACT_MATCH,medium,"Same Noise Buds VS104 Max; B lists the ANC 25dB / 45H specs without naming a colour, so A's Rose Gold is an omission on B's side, not a conflict."
P0088,EXACT_MATCH,easy,"Byte-identical realme TechLife Buds T100 titles at an identical 999."
P0089,DIFFERENT_PRODUCT,hard,"Noise ColorFit Pulse 2 *Pro* vs Pulse 2 *Max* are separate models in the Pulse 2 family, 1.13x apart - a hard negative of the same kind as P0071."
P0090,SAME_PRODUCT_DIFFERENT_VARIANT,hard,"UNSURE: Nike Revolution 6, but UK-11 against US 10.5 is roughly a full size apart, so VARIANT on size. Flagged twice over - A omits 'Next Nature' (the P0042 question) and B carries the DC3728-100 colourway A does not, so the label depends on your ruling there."
P0091,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 vs Airdopes 141 *Gen 2* - a generational revision (42H to 48H playback), so distinct SKUs despite near-identical names."
P0092,DIFFERENT_PRODUCT,hard,"pTron Bassbuds Turbo vs Bassbuds B91+ - different models within the Bassbuds line, differing in latency tuning and audio feature set."
P0093,DIFFERENT_PRODUCT,hard,"Noise ColorFit Pulse 2 Max vs ColorFit Icon 2 - separate smartwatch lines, the P0071 near-miss."
