product1_id,product1_title,product1_brand,product1_description,product2_id,product2_title,product2_brand,product2_description,label
P023441,"Portable SSD WD Black SN850X 500GB, Black",WD,"This Black SN850X from WD is equipped with USB-C interface, Portable SSD, 500GB, 1050 MB/s transfer speed.",P023442,WD Black SN850X 1TB Black Portable SSD,WD,"The WD Black SN850X comes with Portable SSD, 1TB, 560 MB/s read speed, SATA III interface.",0
P021321,Canon EOS R50 Black Body Only DSLR Camera,Canon,"Experience DSLR Camera, 33MP resolution, 1-inch sensor, Body Only with the Canon EOS R50.",P021322,Canon EOS R50 with 18-55mm Lens Black DSLR Camera,Canon,"Canon's EOS R50 features DSLR Camera, with 18-55mm Lens, 24.2MP resolution, Full-frame sensor for everyday use.",0
P016979,Sony Bravia X75K 65 inch Black,Sony,"Sony's Bravia X75K features 65 inch, 4K UHD resolution, 55in display for everyday use.",P016980,Bravia X75K 65 inch Black - Sony,Sony,"The Sony Bravia X75K comes with 4K UHD resolution, 55in display, 65 inch.",1
P000179,Apple iPhone 16 Pro 256GB Desert Titanium,Apple,"The Apple iPhone 16 Pro comes with A16 Bionic chip, 6.1-inch OLED display, 256GB.",P000180,"Apple iPhone 16 Pro 256 GB, Desert Titanium",Apple,"iPhone 16 Pro by Apple: A16 Bionic chip, 6.1-inch OLED display, 256 GB.",1
P004773,Poco X6 Pro 512GB Blue - Xiaomi,Xiaomi,"Xiaomi's Poco X6 Pro features 6.7 inch AMOLED, Dimensity 9200, 512GB for everyday use.",P004774,Xiaomi Poco X6 Pro (512GB) Desert Titanium,Xiaomi,"Poco X6 Pro by Xiaomi: 512GB, 6.5in LCD 120Hz, Snapdragon 8 Gen 3.",0
P002375,Samsung Galaxy S24 Desert Titanium 64GB,Samsung,"Galaxy S24 by Samsung: 64GB, 6.1 Super Retina XDR, 50 MP triple camera.",P002376,Samsung Galaxy S24 64 GB Desert Titanium,Samsung,"The Samsung Galaxy S24 comes with 64 GB, 6.1 Super Retina XDR, 50 MP triple camera.",1
P000839,Apple iPhone 15 Titanium Gray 512GB Renewed,Apple,"iPhone 15 by Apple: 512GB, Renewed, 6.1-inch OLED display, Exynos 2400.",P000840,Apple iPhone 15 512 GB Titanium Gray Renewed,Apple,"This iPhone 15 from Apple is equipped with 512 GB, Renewed, 6.1-inch OLED display, Exynos 2400.",1
P019417,Energen Lux UK 8 Black/White - Reebok,Reebok,"Reebok's Energen Lux features 43 inch screen, UK 8, Mesh upper for everyday use.",P019418,Reebok Energen Lux Black/White UK 9,Reebok,"This Energen Lux from Reebok is equipped with Leather upper, UK 9, 43 inch screen.",0
P008795,Refurbished Nothing Phone 1 (512GB) Titanium Gray,Nothing,"Experience 512GB, 50 MP triple camera, Refurbished, 6.1 Super Retina XDR with the Nothing Phone 1.",P008796,Phone 1 512 GB Titanium Gray - Nothing Refurbished,Nothing,"Experience Refurbished, 512 GB, 6.1 Super Retina XDR, 50 MP triple camera with the Nothing Phone 1.",1
P005517,"Refurbished Google Pixel 8a 128GB, White",Google,"The Google Pixel 8a comes with 128GB, 48MP main camera, Refurbished, 6.5in LCD 120Hz.",P005518,Refurbished Google Pixel 8a 256GB White,Google,"The Google Pixel 8a comes with 256GB, Refurbished, Tensor G3, 50 MP triple camera.",0
P003871,Renewed Poco X6 Pro 512GB White - Xiaomi,Xiaomi,"The Xiaomi Poco X6 Pro comes with 6.1-inch OLED display, 512GB, Renewed, 108MP quad camera.",P003872,Renewed Xiaomi Poco X6 Pro White 512 GB,Xiaomi,"Poco X6 Pro by Xiaomi: 6.1-inch OLED display, 108MP quad camera, Renewed, 512 GB.",1
P003829,Renewed Xiaomi Redmi Note 12 White 128GB,Xiaomi,"The Xiaomi Redmi Note 12 comes with 128GB, Renewed, 6.1-inch OLED display, Snapdragon 8 Gen 3.",P003830,Renewed Xiaomi Mi 13 White 128GB,Xiaomi,"Experience 128GB, Snapdragon 8 Gen 3, 6.1 Super Retina XDR, Renewed with the Xiaomi Mi 13.",0
